provider_id,specialty,region,beneficiary_count,claims_per_beneficiary,avg_allowed_amount,risk_adjustment_score,high_level_code_rate,duplicate_claim_rate,modifier_59_rate,weekend_service_rate,denial_rate,referral_concentration,peer_z_allowed,total_allowed_amount,injected_typology,review_flag
NPI2000001615,Cardiology,South,372,6.34,721.96,1.31,0.076,0.021,0.071,0.015,0.133,0.259,0.8,2225170.0,No injected typology,0
NPI2000001616,Radiology,South,235,6.36,330.37,1.17,0.224,0.039,0.202,0.078,0.089,0.058,0.73,575780.03,No injected typology,0
NPI2000001617,DME Supplier,South,59,5.96,559.79,0.59,0.401,0.003,0.244,0.216,0.118,0.159,1.25,115290.6,No injected typology,0
NPI2000001618,Orthopedics,South,101,5.1,477.14,0.96,0.33,0.129,0.66,0.009,0.114,0.39,3.3,236549.26,Unbundling/modifier abuse,1
NPI2000001619,Oncology,South,77,7.62,501.73,1.0,0.252,0.402,0.237,0.078,0.051,0.017,-1.18,293243.32,Duplicate billing,1
NPI2000001620,Radiology,West,75,8.23,118.79,0.85,0.144,0.022,0.209,0.013,0.167,0.067,-0.29,62271.23,No injected typology,0
NPI2000001621,Internal Medicine,South,86,7.26,353.82,1.07,0.143,0.014,0.099,0.037,0.055,0.326,-1.17,236653.35,No injected typology,0
NPI2000001622,Oncology,Midwest,250,5.61,384.92,1.25,0.229,0.034,0.045,0.028,0.095,0.466,0.97,673916.64,No injected typology,0
NPI2000001623,DME Supplier,South,241,3.84,555.35,0.95,0.04,0.037,0.205,0.0,0.32,0.641,4.69,488827.52,DME aberrancy,1
NPI2000001624,Orthopedics,Midwest,195,6.87,157.34,0.55,0.16,0.012,0.023,0.051,0.081,0.315,0.26,115977.11,No injected typology,0
NPI2000001625,Cardiology,Midwest,84,5.98,297.39,0.7,0.266,0.016,0.011,0.143,0.02,0.115,1.27,104332.63,No injected typology,0
NPI2000001626,Internal Medicine,South,118,4.8,237.58,1.09,0.339,0.016,0.232,0.142,0.092,0.194,-0.85,146204.93,No injected typology,0
NPI2000001627,Cardiology,South,234,6.64,263.82,0.88,0.062,0.098,0.166,0.067,0.05,0.114,-0.22,361966.35,No injected typology,0
NPI2000001628,Cardiology,Northeast,191,4.22,448.05,1.22,0.103,0.027,0.193,0.007,0.043,0.643,-1.66,442363.29,No injected typology,0
NPI2000001629,Orthopedics,West,81,9.23,258.82,0.83,0.155,0.03,0.016,0.024,0.052,0.15,0.78,160628.0,No injected typology,0
NPI2000001630,Oncology,Northeast,175,1.32,430.65,0.88,0.177,0.049,0.037,0.076,0.033,0.645,0.58,87651.71,No injected typology,0
NPI2000001631,DME Supplier,South,169,6.95,445.85,1.18,0.083,0.056,0.075,0.003,0.04,0.198,-0.19,615920.59,No injected typology,0
NPI2000001632,Internal Medicine,Midwest,413,8.59,314.43,0.75,0.083,0.027,0.019,0.117,0.041,0.306,-0.59,833918.57,No injected typology,0
NPI2000001633,Orthopedics,South,137,7.14,324.14,0.98,0.316,0.043,0.06,0.009,0.049,0.281,1.78,310914.76,No injected typology,0
NPI2000001634,Pain Management,South,33,6.13,514.3,1.35,0.044,0.02,0.034,0.064,0.1,0.345,1.81,140332.45,No injected typology,0
NPI2000001635,Internal Medicine,Midwest,200,8.32,284.21,0.81,0.083,0.024,0.231,0.045,0.107,0.301,-0.01,385436.06,No injected typology,0
NPI2000001636,Pain Management,South,319,4.52,329.19,1.25,0.28,0.041,0.139,0.123,0.08,0.209,-0.82,593068.93,No injected typology,0
NPI2000001637,Pain Management,West,62,4.31,493.94,1.43,0.586,0.007,0.302,0.021,0.067,0.214,0.3,188658.52,No injected typology,0
NPI2000001638,Lab,South,281,5.73,246.52,0.72,0.162,0.043,0.099,0.141,0.07,0.284,-0.57,285709.27,No injected typology,0
NPI2000001639,Pain Management,Northeast,331,5.12,1160.89,1.11,0.385,0.026,0.043,0.031,0.186,0.208,0.56,2175138.83,No injected typology,0
NPI2000001640,Home Health,South,186,5.77,303.88,1.21,0.073,0.326,0.077,0.116,0.082,0.127,0.36,395061.0,Duplicate billing,1
NPI2000001641,Home Health,West,118,6.23,247.67,1.11,0.105,0.028,0.265,0.018,0.164,0.362,0.77,201532.34,No injected typology,0
NPI2000001642,Internal Medicine,Midwest,170,3.7,166.14,1.19,0.131,0.028,0.161,0.029,0.155,0.31,0.1,124060.68,No injected typology,0
NPI2000001643,DME Supplier,Northeast,137,5.43,421.68,0.67,0.069,0.013,0.142,0.091,0.075,0.321,1.5,210683.7,No injected typology,0
NPI2000001644,Pain Management,Midwest,196,7.48,437.36,0.65,0.354,0.107,0.247,0.034,0.01,0.291,1.65,416557.06,No injected typology,0
NPI2000001645,Internal Medicine,Midwest,349,9.41,405.33,1.04,0.049,0.043,0.077,0.107,0.135,0.355,0.28,1379961.51,No injected typology,0
NPI2000001646,Internal Medicine,South,189,8.22,320.08,0.96,0.276,0.025,0.074,0.03,0.016,0.378,-0.54,477514.09,No injected typology,0
NPI2000001647,Oncology,Northeast,124,5.56,475.77,0.84,0.316,0.049,0.08,0.034,0.058,0.121,-0.84,274557.7,No injected typology,0
NPI2000001648,Internal Medicine,West,257,7.81,499.26,0.96,0.142,0.052,0.189,0.094,0.067,0.164,0.17,956856.68,No injected typology,0
NPI2000001649,Lab,West,139,5.44,186.77,1.07,0.109,0.126,0.312,0.073,0.048,0.261,0.34,151555.76,No injected typology,0
NPI2000001650,Orthopedics,Northeast,64,3.27,371.5,1.21,0.275,0.004,0.083,0.078,0.046,0.253,-0.29,94025.59,No injected typology,0
NPI2000001651,Internal Medicine,West,197,7.43,318.37,1.4,0.489,0.01,0.032,0.012,0.275,0.112,1.33,651404.86,No injected typology,0
NPI2000001652,Oncology,Northeast,521,5.88,621.66,1.33,0.298,0.014,0.152,0.212,0.117,0.094,0.75,2525362.04,No injected typology,0
NPI2000001653,Home Health,Northeast,131,6.43,232.97,0.83,0.073,0.023,0.044,0.045,0.102,0.123,0.85,162935.86,No injected typology,0
NPI2000001654,Orthopedics,West,189,6.33,727.07,1.08,0.267,0.047,0.001,0.0,0.02,0.133,-0.5,938253.9,No injected typology,0
NPI2000001655,Lab,Northeast,71,4.12,350.55,1.13,0.299,0.008,0.075,0.157,0.191,0.287,-1.6,116209.92,No injected typology,0
NPI2000001656,Radiology,South,155,6.79,432.74,0.96,0.246,0.059,0.153,0.19,0.097,0.264,-0.09,436149.94,No injected typology,0
NPI2000001657,Orthopedics,Midwest,136,7.98,319.15,0.66,0.037,0.052,0.027,0.165,0.018,0.403,-0.77,229471.24,No injected typology,0
NPI2000001658,Radiology,Midwest,191,6.6,349.18,1.39,0.074,0.062,0.041,0.006,0.017,0.289,-0.34,610485.56,No injected typology,0
NPI2000001659,Radiology,Midwest,169,5.49,479.79,0.97,0.22,0.01,0.037,0.06,0.17,0.116,-0.06,433472.48,No injected typology,0
NPI2000001660,Internal Medicine,Northeast,149,3.88,546.02,1.19,0.135,0.074,0.137,0.065,0.189,0.068,-1.51,377312.88,No injected typology,0
NPI2000001661,Radiology,Northeast,272,5.86,214.87,1.08,0.246,0.377,0.099,0.041,0.044,0.078,-0.69,370207.39,Duplicate billing,1
NPI2000001662,Oncology,Midwest,113,5.48,293.97,1.19,0.281,0.025,0.044,0.118,0.045,0.084,-0.86,216410.77,No injected typology,0
NPI2000001663,Home Health,Midwest,89,6.09,625.33,0.91,0.258,0.004,0.095,0.092,0.053,0.473,-0.24,308718.52,No injected typology,0
NPI2000001664,Radiology,Northeast,324,5.76,500.76,0.96,0.147,0.007,0.069,0.11,0.097,0.439,0.11,895799.44,No injected typology,0
NPI2000001665,Oncology,Northeast,238,5.5,295.28,1.46,0.178,0.009,0.123,0.093,0.261,0.246,-1.2,565916.5,No injected typology,0
NPI2000001666,Radiology,Northeast,95,6.17,195.08,1.17,0.298,0.394,0.213,0.062,0.223,0.123,-0.02,133717.86,Duplicate billing,1
NPI2000001667,Pain Management,South,80,4.4,168.06,1.07,0.058,0.009,0.377,0.009,0.28,0.094,-0.22,63305.44,No injected typology,0
NPI2000001668,DME Supplier,West,83,3.72,289.44,0.98,0.369,0.001,0.187,0.107,0.108,0.17,-1.85,87262.26,No injected typology,0
NPI2000001669,Radiology,West,645,5.27,210.79,1.27,0.086,0.035,0.065,0.018,0.029,0.236,0.1,910141.39,No injected typology,0
NPI2000001670,Home Health,Northeast,257,4.64,591.2,1.0,0.356,0.049,0.027,0.024,0.035,0.041,0.52,705614.08,No injected typology,0
NPI2000001671,Internal Medicine,South,197,6.66,360.96,1.12,0.417,0.03,0.13,0.013,0.143,0.373,-0.36,531738.76,No injected typology,0
NPI2000001672,Internal Medicine,West,258,7.87,267.5,1.27,0.051,0.025,0.163,0.048,0.113,0.176,0.59,692087.77,No injected typology,0
NPI2000001673,Cardiology,Northeast,237,6.98,175.3,0.9,0.106,0.041,0.191,0.034,0.061,0.235,0.43,259448.02,No injected typology,0
NPI2000001674,Lab,West,727,5.58,587.66,1.16,0.207,0.004,0.05,0.144,0.038,0.107,1.12,2762167.07,No injected typology,0
NPI2000001675,Cardiology,Northeast,242,5.64,497.27,0.9,0.158,0.047,0.23,0.06,0.089,0.39,0.07,612102.16,No injected typology,0
NPI2000001676,Cardiology,Midwest,228,6.92,450.44,1.12,0.151,0.009,0.075,0.004,0.134,0.212,-0.53,796310.37,No injected typology,0
NPI2000001677,Lab,Midwest,143,6.93,210.42,0.91,0.186,0.055,0.084,0.186,0.087,0.366,1.53,188912.65,No injected typology,0
NPI2000001678,Internal Medicine,South,294,7.27,430.96,1.13,0.295,0.035,0.16,0.138,0.052,0.093,0.33,1041815.82,No injected typology,0
NPI2000001679,Cardiology,West,212,4.9,519.16,1.17,1.0,0.123,0.21,0.042,0.089,0.26,5.09,628132.6,Upcoding,1
NPI2000001680,Cardiology,South,189,7.14,519.59,1.15,0.255,0.026,0.075,0.234,0.186,0.101,0.47,804050.55,No injected typology,0
NPI2000001681,Internal Medicine,West,33,9.38,253.99,0.67,0.072,0.002,0.035,0.022,0.037,0.257,-0.06,52807.08,No injected typology,0
NPI2000001682,Radiology,West,149,7.99,346.04,1.22,0.166,0.072,0.05,0.036,0.018,0.309,1.56,502879.66,No injected typology,0
NPI2000001683,Orthopedics,South,98,7.62,279.19,0.81,0.361,0.031,0.177,0.022,0.103,0.022,1.48,168118.83,No injected typology,0
NPI2000001684,Orthopedics,Midwest,257,6.13,1339.71,0.99,0.422,0.021,0.05,0.08,0.14,0.577,0.33,2084282.6,No injected typology,0
NPI2000001685,Orthopedics,Northeast,50,5.8,439.25,1.28,0.43,0.107,0.106,0.146,0.103,0.078,1.76,163732.01,No injected typology,0
NPI2000001686,Internal Medicine,South,115,6.63,420.34,0.55,0.154,0.062,0.121,0.041,0.088,0.165,-0.33,176858.61,No injected typology,0
NPI2000001687,Lab,Northeast,85,5.08,372.99,0.92,0.234,0.052,0.037,0.606,0.076,0.072,-0.52,148664.51,Impossible frequency,1
NPI2000001688,Internal Medicine,South,169,4.75,154.98,0.7,0.196,0.018,0.061,0.11,0.118,0.218,0.35,87096.25,No injected typology,0
NPI2000001689,Cardiology,South,185,6.96,1449.67,1.36,0.329,0.03,0.035,0.108,0.062,0.112,1.96,2542203.23,No injected typology,0
NPI2000001690,Radiology,Northeast,215,3.47,382.68,0.71,0.079,0.039,0.092,0.032,0.161,0.009,-0.64,203389.51,No injected typology,0
NPI2000001691,Orthopedics,South,117,6.42,601.56,1.14,0.083,0.062,0.109,0.211,0.019,0.143,0.76,516860.63,No injected typology,0
NPI2000001692,Pain Management,West,137,7.82,648.16,0.88,0.02,0.028,0.254,0.036,0.145,0.15,0.96,610810.07,No injected typology,0
NPI2000001693,Orthopedics,South,78,4.82,425.6,1.38,0.166,0.008,0.151,0.047,0.03,0.123,-0.35,221079.68,No injected typology,0
NPI2000001694,DME Supplier,West,186,6.05,249.15,0.97,0.161,0.056,0.119,0.099,0.173,0.19,-2.04,270762.99,No injected typology,0
NPI2000001695,Cardiology,South,112,5.12,402.32,1.24,0.167,0.03,0.178,0.054,0.115,0.284,1.21,285910.57,No injected typology,0
NPI2000001696,Pain Management,Midwest,341,8.94,690.75,1.13,0.13,0.007,0.075,0.24,0.143,0.14,0.13,2374913.93,No injected typology,0
NPI2000001697,Internal Medicine,Midwest,600,6.16,436.77,1.33,0.211,0.001,0.193,0.12,0.119,0.281,-0.18,2149485.98,No injected typology,0
NPI2000001698,Internal Medicine,South,65,7.43,510.06,1.34,0.203,0.016,0.075,0.022,0.082,0.114,-0.72,329657.42,No injected typology,0
NPI2000001699,Pain Management,Midwest,159,5.06,439.9,1.0,0.021,0.015,0.072,0.224,0.195,0.424,-0.09,351905.63,No injected typology,0
NPI2000001700,Lab,West,78,6.29,639.14,0.91,0.378,0.032,0.103,0.005,0.135,0.081,0.52,285551.75,No injected typology,0
NPI2000001701,Oncology,West,81,4.61,313.3,1.44,0.047,0.048,0.024,0.114,0.129,0.11,-1.08,167920.67,No injected typology,0
NPI2000001702,Lab,Midwest,183,5.39,154.45,1.42,0.096,0.037,0.127,0.013,0.043,0.11,1.14,216190.15,No injected typology,0
NPI2000001703,DME Supplier,Northeast,221,4.54,473.14,1.27,0.081,0.092,0.06,0.016,0.098,0.185,1.63,602275.43,No injected typology,0
NPI2000001704,Home Health,South,139,4.35,473.46,0.86,0.989,0.024,0.218,0.024,0.01,0.163,5.92,247192.88,Upcoding,1
NPI2000001705,Home Health,South,276,7.02,743.43,0.92,0.23,0.018,0.083,0.042,0.14,0.041,-0.53,1325527.74,No injected typology,0
NPI2000001706,Radiology,West,170,6.97,541.31,0.81,0.182,0.094,0.229,0.132,0.106,0.034,-0.74,520559.39,No injected typology,0
NPI2000001707,Oncology,Midwest,118,6.03,398.15,1.17,0.011,0.005,0.022,0.032,0.081,0.281,0.25,332795.55,No injected typology,0
NPI2000001708,Orthopedics,West,465,6.39,848.77,1.03,0.066,0.004,0.264,0.004,0.278,0.568,1.28,2605366.28,No injected typology,0
NPI2000001709,Pain Management,Midwest,235,6.5,576.58,1.18,0.124,0.036,0.099,0.009,0.144,0.292,-0.73,1037156.12,No injected typology,0
NPI2000001710,Radiology,South,170,6.83,325.43,1.52,0.202,0.062,0.005,0.004,0.145,0.243,-0.99,574183.02,No injected typology,0
NPI2000001711,Cardiology,South,268,3.71,309.78,0.93,0.437,0.005,0.105,0.149,0.068,0.174,1.13,287033.6,No injected typology,0
NPI2000001712,Internal Medicine,South,283,7.27,258.14,0.97,0.189,0.062,0.091,0.023,0.115,0.376,-1.18,514529.48,No injected typology,0
NPI2000001713,Lab,South,152,5.02,434.86,1.1,0.284,0.029,0.009,0.079,0.253,0.269,-0.19,366673.84,No injected typology,0
NPI2000001714,Internal Medicine,South,318,6.18,484.0,0.75,0.177,0.036,0.132,0.054,0.065,0.149,0.71,714823.98,No injected typology,0
NPI2000001715,Lab,West,64,8.15,178.35,0.87,0.072,0.027,0.081,0.189,0.153,0.277,-1.06,81276.21,No injected typology,0
NPI2000001716,Oncology,Midwest,79,4.57,656.94,1.08,0.25,0.006,0.059,0.081,0.204,0.195,0.63,256777.51,No injected typology,0
NPI2000001717,Internal Medicine,Midwest,184,9.1,350.47,1.04,0.128,0.011,0.077,0.019,0.007,0.269,0.87,609284.0,No injected typology,0
NPI2000001718,Radiology,Northeast,76,5.52,334.19,1.07,0.126,0.143,0.067,0.057,0.089,0.136,0.52,149355.95,No injected typology,0
NPI2000001719,Cardiology,Northeast,426,4.84,129.2,1.24,0.067,0.136,0.087,0.019,0.249,0.127,0.47,329938.45,No injected typology,0
NPI2000001720,Cardiology,South,161,8.3,218.27,1.17,0.121,0.044,0.01,0.535,0.07,0.386,-1.61,341086.95,Impossible frequency,1
NPI2000001721,Oncology,South,301,4.76,218.22,1.2,0.208,0.017,0.125,0.076,0.213,0.104,0.47,376682.37,No injected typology,0
NPI2000001722,Lab,Northeast,175,6.85,696.52,1.06,0.314,0.075,0.194,0.016,0.021,0.422,0.44,881829.3,No injected typology,0
NPI2000001723,Radiology,Midwest,125,3.95,394.0,1.0,0.143,0.015,0.017,0.047,0.081,0.211,-1.15,194290.15,No injected typology,0
NPI2000001724,Pain Management,South,145,7.17,295.11,1.18,0.181,0.013,0.09,0.028,0.098,0.492,-0.1,363149.44,No injected typology,0
NPI2000001725,Oncology,Midwest,282,4.35,324.98,1.5,0.209,0.016,0.133,0.017,0.1,0.746,-0.33,595383.3,No injected typology,0
NPI2000001726,DME Supplier,Midwest,140,4.67,631.7,0.55,0.206,0.078,0.161,0.049,0.092,0.069,-2.49,227254.36,No injected typology,0
NPI2000001727,Oncology,Midwest,50,9.71,505.72,1.04,0.189,0.002,0.053,0.071,0.117,0.073,2.24,254275.58,No injected typology,0
NPI2000001728,Radiology,Midwest,387,4.17,478.19,1.28,0.06,0.01,0.009,0.048,0.247,0.566,-0.82,991130.5,No injected typology,0
NPI2000001729,Internal Medicine,Northeast,134,6.6,307.4,1.05,0.244,0.001,0.118,0.012,0.016,0.57,-1.07,285797.86,No injected typology,0
NPI2000001730,Radiology,Midwest,141,8.16,183.37,1.11,0.245,0.036,0.1,0.092,0.252,0.176,1.22,234096.88,No injected typology,0
NPI2000001731,Lab,South,147,6.49,399.61,0.91,0.125,0.108,0.219,0.051,0.048,0.42,0.05,346265.32,No injected typology,0
NPI2000001732,Lab,South,92,6.37,583.22,1.2,0.159,0.042,0.218,0.157,0.062,0.47,0.42,409926.77,No injected typology,0
NPI2000001733,Home Health,West,33,2.11,120.33,1.03,0.075,0.011,0.088,0.028,0.136,0.429,0.78,8608.32,No injected typology,0
NPI2000001734,Internal Medicine,South,117,5.7,779.91,0.74,0.221,0.083,0.139,0.01,0.144,0.108,1.81,387054.06,No injected typology,0
NPI2000001735,Lab,West,110,8.52,312.24,0.85,0.187,0.038,0.146,0.076,0.085,0.389,-0.81,250017.05,No injected typology,0
NPI2000001736,Orthopedics,West,182,3.47,328.58,1.04,0.039,0.03,0.065,0.059,0.058,0.332,-1.56,216417.71,No injected typology,0
NPI2000001737,Internal Medicine,West,179,4.9,403.16,1.18,0.07,0.002,0.028,0.083,0.037,0.111,0.21,417161.63,No injected typology,0
NPI2000001738,Cardiology,South,126,8.26,265.38,1.07,0.26,0.047,0.062,0.009,0.058,0.108,0.44,294574.03,No injected typology,0
NPI2000001739,Cardiology,West,102,7.84,194.38,1.37,0.099,0.02,0.071,0.011,0.154,0.32,-0.88,212807.47,No injected typology,0
NPI2000001740,Lab,South,447,5.21,512.07,0.73,0.091,0.021,0.131,0.011,0.062,0.335,-0.42,866621.84,No injected typology,0
NPI2000001741,Internal Medicine,Midwest,213,6.18,351.51,1.21,0.175,0.026,0.194,0.024,0.064,0.28,-0.23,558352.84,No injected typology,0
NPI2000001742,Oncology,Midwest,161,5.52,511.94,0.8,0.033,0.023,0.037,0.032,0.224,0.289,0.28,362901.2,No injected typology,0
NPI2000001743,Internal Medicine,Midwest,69,6.7,277.35,0.98,0.05,0.038,0.043,0.028,0.029,0.116,-0.46,125543.21,No injected typology,0
NPI2000001744,Radiology,South,114,6.35,328.33,1.23,0.315,0.059,0.128,0.029,0.081,0.521,0.95,291476.23,No injected typology,0
NPI2000001745,Cardiology,South,165,7.3,190.24,1.16,0.186,0.041,0.008,0.146,0.093,0.42,-0.15,267040.64,No injected typology,0
NPI2000001746,DME Supplier,Midwest,84,6.29,360.13,1.08,0.071,0.029,0.035,0.01,0.11,0.288,0.13,205732.95,No injected typology,0
NPI2000001747,Internal Medicine,Northeast,101,6.61,311.53,0.94,0.798,0.011,0.036,0.062,0.12,0.198,4.56,194529.77,Upcoding,1
NPI2000001748,Lab,Midwest,87,8.0,428.98,1.22,0.349,0.016,0.272,0.01,0.16,0.107,0.13,364763.97,No injected typology,0
NPI2000001749,Internal Medicine,Midwest,139,6.94,451.34,0.68,0.215,0.008,0.067,0.158,0.206,0.108,-0.27,293973.61,No injected typology,0
NPI2000001750,Pain Management,Midwest,196,4.26,320.44,1.0,0.195,0.436,0.212,0.061,0.186,0.039,-0.94,268218.62,Duplicate billing,1
NPI2000001751,Home Health,West,145,4.8,142.38,1.09,0.26,0.095,0.096,0.032,0.112,0.308,0.52,108061.19,No injected typology,0
NPI2000001752,Pain Management,West,136,5.52,748.8,0.94,0.205,0.035,0.016,0.007,0.12,0.111,2.36,527201.94,No injected typology,0
NPI2000001753,Cardiology,Northeast,201,8.55,232.53,1.25,0.114,0.068,0.154,0.094,0.267,0.051,-1.45,498105.75,No injected typology,0
NPI2000001754,Cardiology,Midwest,266,4.83,541.17,0.81,0.333,0.035,0.078,0.108,0.128,0.424,0.81,559985.88,No injected typology,0
NPI2000001755,Oncology,Midwest,30,6.18,433.92,0.73,0.504,0.04,0.016,0.029,0.136,0.201,1.19,58957.26,No injected typology,0
NPI2000001756,Internal Medicine,West,87,2.19,462.86,1.2,0.126,0.031,0.022,0.062,0.085,0.171,1.24,106061.15,No injected typology,0
NPI2000001757,Internal Medicine,West,134,5.04,430.86,1.17,0.255,0.029,0.041,0.105,0.022,0.358,0.48,340996.05,No injected typology,0
NPI2000001758,Lab,South,195,6.71,486.13,0.75,0.111,0.103,0.202,0.164,0.063,0.196,-0.65,475154.86,No injected typology,0
NPI2000001759,Lab,Northeast,41,8.14,511.92,0.9,0.117,0.003,0.546,0.007,0.027,0.472,2.85,153960.04,Unbundling/modifier abuse,1
NPI2000001760,Home Health,Northeast,124,7.83,315.93,1.09,0.174,0.011,0.034,0.014,0.083,0.625,0.11,334759.56,No injected typology,0
NPI2000001761,Pain Management,South,339,5.13,180.02,1.1,0.272,0.082,0.354,0.068,0.133,0.123,-0.84,345688.65,No injected typology,0
NPI2000001762,Oncology,South,156,9.36,156.05,1.3,0.046,0.13,0.018,0.056,0.037,0.513,-1.46,295358.99,No injected typology,0
NPI2000001763,Orthopedics,Northeast,174,5.99,411.48,1.1,0.675,0.021,0.038,0.041,0.058,0.268,5.05,473901.49,Upcoding,1
NPI2000001764,Internal Medicine,South,279,7.93,586.6,0.91,0.249,0.035,0.094,0.262,0.263,0.332,1.61,1183762.96,No injected typology,0
NPI2000001765,Pain Management,Northeast,238,5.63,309.91,1.52,0.443,0.073,0.153,0.069,0.07,0.359,1.13,633298.3,No injected typology,0
NPI2000001766,DME Supplier,West,104,8.54,299.17,0.91,0.136,0.025,0.184,0.06,0.23,0.418,0.14,240691.61,No injected typology,0
NPI2000001767,DME Supplier,Northeast,180,7.23,731.27,0.83,0.139,0.022,0.073,0.232,0.197,0.169,0.06,791746.3,No injected typology,0
NPI2000001768,Lab,South,102,6.07,350.34,0.98,0.157,0.032,0.589,0.003,0.186,0.035,1.32,211918.07,Unbundling/modifier abuse,1
NPI2000001769,Internal Medicine,South,217,6.99,153.32,0.65,0.081,0.093,0.312,0.051,0.168,0.387,0.12,152275.18,No injected typology,0
NPI2000001770,Lab,Midwest,246,4.28,240.93,0.94,0.055,0.018,0.106,0.27,0.091,0.229,-0.31,239481.33,No injected typology,0
NPI2000001771,DME Supplier,Northeast,291,6.95,880.95,0.86,0.36,0.035,0.076,0.033,0.098,0.399,-1.55,1530719.22,No injected typology,0
NPI2000001772,Radiology,South,204,4.92,166.99,1.0,0.196,0.07,0.103,0.0,0.124,0.08,-1.14,166929.73,No injected typology,0
NPI2000001773,Orthopedics,Northeast,33,5.88,313.64,1.28,0.101,0.026,0.021,0.013,0.168,0.232,1.07,78106.99,No injected typology,0
NPI2000001774,Cardiology,Midwest,152,8.45,230.42,1.51,0.172,0.022,0.029,0.019,0.267,0.733,0.58,447828.94,No injected typology,0
NPI2000001775,Orthopedics,South,98,6.16,454.08,1.14,0.041,0.028,0.02,0.05,0.11,0.189,2.17,313799.06,No injected typology,0
NPI2000001776,Cardiology,West,251,4.99,406.59,1.29,0.407,0.026,0.269,0.082,0.194,0.118,0.35,657366.47,No injected typology,0
NPI2000001777,Pain Management,Midwest,316,4.45,488.78,0.74,0.35,0.013,0.212,0.154,0.02,0.465,0.83,510832.5,No injected typology,0
NPI2000001778,DME Supplier,Northeast,194,6.55,629.88,0.55,0.337,0.039,0.184,0.066,0.091,0.412,1.5,440495.63,No injected typology,0
NPI2000001779,Lab,Northeast,120,4.31,540.89,0.98,0.173,0.04,0.066,0.039,0.147,0.183,0.85,273087.91,No injected typology,0
NPI2000001780,Internal Medicine,Northeast,214,4.89,785.04,0.98,0.038,0.027,0.3,0.03,0.023,0.134,0.19,802442.07,No injected typology,0
NPI2000001781,Pain Management,Midwest,266,6.85,283.44,1.01,0.335,0.012,0.027,0.028,0.094,0.255,0.28,522403.38,No injected typology,0
NPI2000001782,DME Supplier,West,325,5.89,602.17,0.75,0.218,0.41,0.649,0.032,0.06,0.126,5.31,862950.61,Duplicate billing,1
NPI2000001783,Lab,West,304,7.01,593.72,0.89,0.212,0.049,0.184,0.114,0.088,0.136,-1.03,1121447.35,No injected typology,0
NPI2000001784,Radiology,South,141,6.94,171.73,1.43,0.15,0.021,0.3,0.006,0.06,0.112,-0.44,240811.14,No injected typology,0
NPI2000001785,Home Health,West,183,8.03,259.01,0.94,0.173,0.023,0.036,0.003,0.043,0.167,0.9,358335.2,No injected typology,0
NPI2000001786,Home Health,West,166,5.87,226.34,0.92,0.074,0.081,0.004,0.142,0.081,0.169,1.02,202471.72,No injected typology,0
NPI2000001787,Pain Management,Northeast,337,5.42,424.71,0.88,0.266,0.002,0.215,0.069,0.133,0.131,0.31,682972.35,No injected typology,0
NPI2000001788,Lab,Northeast,67,8.03,411.89,1.01,0.148,0.017,0.105,0.009,0.036,0.195,-0.24,223486.02,No injected typology,0
NPI2000001789,Lab,West,64,8.72,138.97,0.55,0.272,0.028,0.073,0.039,0.117,0.343,-1.7,42671.85,No injected typology,0
NPI2000001790,DME Supplier,Midwest,315,7.23,385.97,0.84,0.143,0.003,0.122,0.053,0.176,0.111,-0.07,742681.73,No injected typology,0
NPI2000001791,Internal Medicine,Midwest,315,7.85,510.16,1.0,0.208,0.031,0.061,0.009,0.025,0.228,0.04,1263511.77,No injected typology,0
NPI2000001792,Orthopedics,Midwest,246,8.06,545.94,0.79,0.17,0.003,0.124,0.008,0.073,0.383,-1.93,859806.86,No injected typology,0
NPI2000001793,Cardiology,Midwest,151,7.7,152.49,1.11,0.199,0.308,0.072,0.149,0.284,0.217,-0.85,196735.68,Duplicate billing,1
NPI2000001794,Internal Medicine,Midwest,292,7.52,539.31,0.63,0.122,0.002,0.156,0.039,0.126,0.16,2.43,748764.39,No injected typology,0
NPI2000001795,Cardiology,Northeast,156,7.45,279.95,0.91,0.171,0.015,0.184,0.24,0.22,0.399,-0.01,297681.56,No injected typology,0
NPI2000001796,Lab,South,111,5.62,293.75,0.87,0.108,0.47,0.123,0.024,0.042,0.54,-0.91,158913.79,Duplicate billing,1
NPI2000001797,Orthopedics,South,241,5.46,670.74,0.69,0.236,0.047,0.144,0.071,0.092,0.206,0.27,609255.23,No injected typology,0
NPI2000001798,Orthopedics,Midwest,83,7.33,236.07,1.45,0.195,0.049,0.056,0.038,0.216,0.366,0.56,208032.92,No injected typology,0
NPI2000001799,Orthopedics,South,199,9.2,351.59,1.03,0.18,0.024,0.145,0.049,0.015,0.066,0.3,663857.9,No injected typology,0
NPI2000001800,Internal Medicine,Midwest,140,7.86,236.87,1.0,0.478,0.025,0.359,0.115,0.083,0.031,-0.2,261084.81,No injected typology,0
NPI2000001801,DME Supplier,West,173,6.41,264.97,1.09,0.026,0.032,0.03,0.088,0.048,0.398,0.32,319800.51,No injected typology,0
NPI2000001802,Orthopedics,Northeast,480,4.55,639.14,1.07,0.122,0.051,0.245,0.029,0.092,0.114,-0.03,1490397.23,No injected typology,0
NPI2000001803,Oncology,Northeast,71,7.38,350.69,0.89,0.203,0.019,0.116,0.009,0.111,0.195,-0.66,164392.41,No injected typology,0
